Song_name,Scale,Capo,Chords,Frequency_map_of_each_chord,bpm
Bejeweled,C,no capo,"['C', 'Dm7', 'Am', 'Gsus4', 'Fsus2']","{'C': 30, 'Dm7': 29, 'Am': 29, 'Gsus4': 31, 'Fsus2': 2}",NF
Wheres My Love,Key Not Find,3rd fret,"['Am', 'C', 'F', 'Dm', 'G', 'Em']","{'Am': 22, 'C': 21, 'F': 26, 'Dm': 18, 'G': 5, 'Em': 5}",105 
A Day In The Life,G,no capo,"['G', 'Bm', 'Em', 'Em7', 'C', 'C/B', 'Asus2', 'F', 'Em/F#', 'Em/G', 'Em/A', 'Em/B', 'Em/C#', 'Em/D', 'E', 'Dsus2', 'B7sus4', 'D', 'A', 'Em/C']","{'G': 11, 'Bm': 9, 'Em': 16, 'Em7': 13, 'C': 18, 'C/B': 4, 'Asus2': 4, 'F': 5, 'Em/F#': 2, 'Em/G': 2, 'Em/A': 2, 'Em/B': 2, 'Em/C#': 1, 'Em/D': 2, 'E': 9, 'Dsus2': 2, 'B7sus4': 4, 'D': 4, 'A': 2, 'Em/C': 1}",78 
And I Love Her,Key Not Find,no capo,"['F#m', 'E', 'C#m', 'A', 'B', 'G#m', 'B7', 'Gm', 'Dm', 'A#', 'C7', 'F', 'Dm/F', 'D']","{'F#m': 10, 'E': 4, 'C#m': 12, 'A': 3, 'B': 5, 'G#m': 2, 'B7': 1, 'Gm': 8, 'Dm': 6, 'A#': 2, 'C7': 2, 'F': 3, 'Dm/F': 1, 'D': 1}",115 
Time,Key Not Find,no capo,"['F#m', 'Dmaj7', 'Amaj7', 'C#m7', 'Bm7', 'F/B', 'A', 'E', 'Bm', 'Emadd9', 'Em7', 'Cmaj7', 'Fmaj7', 'G', 'D7#9', 'D7b9']","{'F#m': 11, 'Dmaj7': 10, 'Amaj7': 7, 'C#m7': 4, 'Bm7': 5, 'F/B': 2, 'A': 11, 'E': 7, 'Bm': 2, 'Emadd9': 2, 'Em7': 4, 'Cmaj7': 1, 'Fmaj7': 1, 'G': 1, 'D7#9': 1, 'D7b9': 1}",NF
Simple Man,C,no capo,"['C', 'G', 'Am']","{'C': 28, 'G': 28, 'Am': 28}",60 
Betty,C,no capo,"['C', 'C/B', 'Am', 'Gsus4', 'F', 'G', 'Fm', 'Em', 'D', 'D/C#', 'Bm', 'A', 'D/F#']","{'C': 21, 'C/B': 18, 'Am': 31, 'Gsus4': 31, 'F': 30, 'G': 28, 'Fm': 1, 'Em': 4, 'D': 6, 'D/C#': 2, 'Bm': 2, 'A': 7, 'D/F#': 3}",96 
Slow Dancing In A Burning Room,C#m,no capo,"['E', 'A', 'D', 'G', 'B', 'C#m7', 'Aadd9', 'Badd11', 'F#m11']","{'E': 27, 'A': 1, 'D': 1, 'G': 1, 'B': 1, 'C#m7': 31, 'Aadd9': 29, 'Badd11': 5, 'F#m11': 3}",67 
Angels,Key Not Find,no capo,"['E', 'A', 'C#m', 'B', 'F#m', 'C#m7', 'D', 'A/C#', 'E/G#', 'Bm']","{'E': 16, 'A': 13, 'C#m': 10, 'B': 10, 'F#m': 4, 'C#m7': 1, 'D': 7, 'A/C#': 7, 'E/G#': 3, 'Bm': 1}",76 
Banana Pancakes,G,no capo,"['G7', 'D7', 'Am7', 'C7', 'D', 'Bm', 'Em', 'G', 'D9', 'Em/D#', 'C']","{'G7': 10, 'D7': 2, 'Am7': 27, 'C7': 16, 'D': 3, 'Bm': 2, 'Em': 2, 'G': 17, 'D9': 12, 'Em/D#': 1, 'C': 1}",114 
God Rest Ye Merry Gentlemen,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']","{'Em': 25, 'C': 10, 'B7': 20, 'Am': 5, 'G': 15, 'D': 10}",NF
Grease - Hopelessly Devoted To You,Dm,no capo,"['Dm', 'A', 'C#m7', 'D', 'Bm7', 'E7', 'Amaj7', 'A6', 'F#7', 'G6', 'Cm7', 'Gm7', 'C7', 'Caug', 'F', 'Fma7', 'Cdim', 'Gdim', 'Dm/C#', 'Dm/C', 'Dm/B', 'A#m']","{'Dm': 8, 'A': 12, 'C#m7': 6, 'D': 3, 'Bm7': 9, 'E7': 3, 'Amaj7': 3, 'A6': 3, 'F#7': 6, 'G6': 3, 'Cm7': 3, 'Gm7': 6, 'C7': 2, 'Caug': 2, 'F': 3, 'Fma7': 2, 'Cdim': 2, 'Gdim': 4, 'Dm/C#': 2, 'Dm/C': 2, 'Dm/B': 2, 'A#m': 1}",NF
My Way,C,2nd fret,"['C', 'Em', 'Gm', 'A7', 'Dm', 'Dm7', 'G7', 'C7', 'F', 'Fm', 'Em7', 'Am', 'A#', 'A', 'C/B', 'G']","{'C': 24, 'Em': 3, 'Gm': 3, 'A7': 3, 'Dm': 7, 'Dm7': 3, 'G7': 10, 'C7': 5, 'F': 11, 'Fm': 4, 'Em7': 2, 'Am': 3, 'A#': 1, 'A': 1, 'C/B': 1, 'G': 1}",75 
Mardy Bum,Key Not Find,no capo,"['E', 'A', 'D', 'G', 'B', 'F#', 'F#m', 'Em', 'Bm', 'F#5', 'G5', 'A5']","{'E': 2, 'A': 23, 'D': 16, 'G': 17, 'B': 1, 'F#': 7, 'F#m': 7, 'Em': 7, 'Bm': 6, 'F#5': 5, 'G5': 4, 'A5': 1}",112 
All The Small Things,C,no capo,"['C', 'F', 'G']","{'C': 33, 'F': 26, 'G': 32}",148 
The Gambler,G,no capo,"['G', 'C', 'D']","{'G': 63, 'C': 45, 'D': 18}",NF
SomD#ody To Love,G#,1st fret,"['G', 'D/F#', 'Em', 'C', 'D7', 'G/D', 'D', 'A7', 'G7', 'C7', 'F', 'Fm']","{'G': 34, 'D/F#': 18, 'Em': 17, 'C': 15, 'D7': 5, 'G/D': 1, 'D': 21, 'A7': 17, 'G7': 1, 'C7': 1, 'F': 1, 'Fm': 1}",NF
Dont Dream Its Over,D#,3rd fret,"['Csus2', 'C7(sus2)', 'C7sus4', 'Am', 'F', 'E', 'Asus2/E', 'G', 'C', 'A#', 'F/D', 'G/E']","{'Csus2': 10, 'C7(sus2)': 2, 'C7sus4': 2, 'Am': 18, 'F': 24, 'E': 9, 'Asus2/E': 3, 'G': 10, 'C': 13, 'A#': 2, 'F/D': 1, 'G/E': 1}",82 
O Come To The Altar,B,4th fret,"['G', 'C/G', 'Em', 'Cadd9', 'Am7', 'C', 'Gsus4', 'Fmaj7']","{'G': 33, 'C/G': 13, 'Em': 16, 'Cadd9': 6, 'Am7': 9, 'C': 10, 'Gsus4': 2, 'Fmaj7': 1}",93 
I Want To Hold Your Hand,G,no capo,"['C', 'D', 'G', 'Em', 'B', 'B7', 'Dm7', 'Am']","{'C': 32, 'D': 27, 'G': 20, 'Em': 12, 'B': 4, 'B7': 5, 'Dm7': 4, 'Am': 2}",132 
Nutshell,Em,no capo,"['Cadd9', 'Em7', 'G', 'D']","{'Cadd9': 12, 'Em7': 12, 'G': 12, 'D': 12}",NF
Candy,Am,no capo,"['Am', 'Em', 'G', 'D7', 'C']","{'Am': 12, 'Em': 17, 'G': 17, 'D7': 11, 'C': 11}",125 
Little Talks,A#m,1st fret,"['Am', 'Fmaj7', 'C', 'G', 'F']","{'Am': 51, 'Fmaj7': 42, 'C': 46, 'G': 28, 'F': 4}",206 
Let You Break My Heart Again,D,no capo,"['Em7', 'A7', 'Dmaj7', 'D7', 'B7', 'F#m7', 'D', 'Gmaj7', 'GmMaj7', 'C', 'Asus', 'A', 'A7sus']","{'Em7': 20, 'A7': 13, 'Dmaj7': 6, 'D7': 4, 'B7': 13, 'F#m7': 5, 'D': 10, 'Gmaj7': 3, 'GmMaj7': 3, 'C': 4, 'Asus': 2, 'A': 4, 'A7sus': 2}",74 
Wildest Dreams,C#,1st fret,"['C', 'Em', 'D', 'G', 'Am']","{'C': 30, 'Em': 10, 'D': 30, 'G': 20, 'Am': 20}",70 
Chandelier,F,1st fret,"['Am', 'F', 'G', 'Em', 'C/E', 'C']","{'Am': 5, 'F': 34, 'G': 21, 'Em': 3, 'C/E': 10, 'C': 4}",87 
She Will Be Loved,Cm,3rd fret,"['Am', 'G', 'C', 'F']","{'Am': 37, 'G': 42, 'C': 13, 'F': 9}",102 
Scott Street,Key Not Find,3rd fret,"['G', 'Dsus4', 'A7sus4', 'G/A', 'G/B', 'Csus2', 'Cadd9', 'G5', 'G5/F#', 'B5/C', 'C5']","{'G': 23, 'Dsus4': 23, 'A7sus4': 27, 'G/A': 21, 'G/B': 21, 'Csus2': 46, 'Cadd9': 21, 'G5': 5, 'G5/F#': 5, 'B5/C': 9, 'C5': 8}",68 
Arcade,Am,no capo,"['F', 'G', 'Em', 'Fmaj7', 'Am', 'Dm', 'C', 'C/E']","{'F': 40, 'G': 28, 'Em': 17, 'Fmaj7': 3, 'Am': 8, 'Dm': 3, 'C': 5, 'C/E': 1}",72 
Gratitude,E,4th fret,"['G', 'Em', 'D', 'C', 'Dm', 'Cm']","{'G': 20, 'Em': 8, 'D': 21, 'C': 15, 'Dm': 4, 'Cm': 2}",156 
The Weight,A,no capo,"['A', 'C#m', 'D', 'A/G#', 'Dsus4', 'F#m7', 'E']","{'A': 62, 'C#m': 20, 'D': 50, 'A/G#': 20, 'Dsus4': 5, 'F#m7': 5, 'E': 5}",144 
Pumped Up Kicks ,Bm,7th fret,"['Em', 'G', 'D', 'A']","{'Em': 15, 'G': 15, 'D': 15, 'A': 15}",132 
Cyberpunk 2077 - I Really Want To Stay At Your House,Key Not Find,no capo,"['B', 'F#', 'D#m', 'C#', 'Bm', 'G#m', 'A#m', 'F#m', 'G#']","{'B': 29, 'F#': 23, 'D#m': 31, 'C#': 29, 'Bm': 1, 'G#m': 4, 'A#m': 4, 'F#m': 3, 'G#': 3}",NF
The Man Who Sold The World,C#m,no capo,"['C#', 'F', 'Dm', 'A', 'C']","{'C#': 7, 'F': 15, 'Dm': 11, 'A': 13, 'C': 10}",115 
No Woman No Cry,C,no capo,"['C', 'G/B', 'Am', 'F', 'G']","{'C': 41, 'G/B': 27, 'Am': 27, 'F': 34, 'G': 6}",78 
Holly Jolly Christmas,C,no capo,"['C', 'G7', 'F', 'Em', 'Dm', 'Am', 'D7', 'G']","{'C': 8, 'G7': 5, 'F': 1, 'Em': 1, 'Dm': 2, 'Am': 2, 'D7': 3, 'G': 1}",140 
How Far Ill Go,C,4th fret,"['C', 'F', 'Dm7', 'Am', 'G', 'Fm', 'Cmaj7', 'C#', 'G#', 'A#m', 'F#', 'F#m', 'C#maj7']","{'C': 13, 'F': 10, 'Dm7': 5, 'Am': 12, 'G': 8, 'Fm': 4, 'Cmaj7': 1, 'C#': 4, 'G#': 2, 'A#m': 2, 'F#': 1, 'F#m': 1, 'C#maj7': 1}",91 
Let Me Down Slowly,Am,4th fret,"['Am', 'G', 'Em', 'F']","{'Am': 27, 'G': 27, 'Em': 27, 'F': 27}",75 
Boys Dont Cry,Key Not Find,no capo,"['A', 'Bm', 'C#m', 'D', 'E', 'F#m7']","{'A': 18, 'Bm': 34, 'C#m': 34, 'D': 27, 'E': 4, 'F#m7': 3}",168 
Sweet Dreams Are Made Of This,Cm,3rd fret,"['Am', 'F', 'E', 'Dm', 'D']","{'Am': 35, 'F': 35, 'E': 35, 'Dm': 3, 'D': 3}",125 
Bad HG#its,Bm,no capo,"['Bm', 'Dmaj7', 'Gsus2', 'A', 'Em7', 'G', 'D', 'F#m']","{'Bm': 34, 'Dmaj7': 32, 'Gsus2': 18, 'A': 21, 'Em7': 14, 'G': 12, 'D': 1, 'F#m': 3}",126 
Happier,Am,no capo,"['Am7', 'F', 'C']","{'Am7': 35, 'F': 35, 'C': 35}",90 
Vienna,A#,3rd fret,"['G6', 'Faug', 'F7', 'B7sus4', 'C/G', 'Am7b5', 'Bm7', 'G', 'Em', 'D', 'F', 'C', 'A', 'B9sus', 'B', 'F#m', 'D/F#', 'G/D', 'B7', 'Em7', 'A7', 'D#7', 'B5/F#', 'E7']","{'G6': 1, 'Faug': 1, 'F7': 1, 'B7sus4': 1, 'C/G': 1, 'Am7b5': 1, 'Bm7': 1, 'G': 20, 'Em': 9, 'D': 14, 'F': 5, 'C': 13, 'A': 2, 'B9sus': 5, 'B': 5, 'F#m': 7, 'D/F#': 4, 'G/D': 4, 'B7': 4, 'Em7': 4, 'A7': 5, 'D#7': 4, 'B5/F#': 1, 'E7': 1}",NF
Skinny Love,Am,no capo,"['Am', 'C', 'D6sus2', 'Fmaj7/C', 'C/B', 'F', 'G']","{'Am': 20, 'C': 27, 'D6sus2': 5, 'Fmaj7/C': 2, 'C/B': 8, 'F': 10, 'G': 2}",150 
Always On My Mind,D,no capo,"['G', 'D/F#', 'Em', 'A', 'D', 'Bm', 'D/A', 'E', 'D/C', 'Em7/D', 'Em7/B', 'D7', 'Em/B', 'A/C#', 'A/E', 'D/B']","{'G': 17, 'D/F#': 4, 'Em': 6, 'A': 19, 'D': 22, 'Bm': 8, 'D/A': 8, 'E': 3, 'D/C': 1, 'Em7/D': 3, 'Em7/B': 1, 'D7': 5, 'Em/B': 2, 'A/C#': 5, 'A/E': 1, 'D/B': 1}",73 
Everybody Hurts,Em,no capo,"['D', 'G', 'Em', 'A', 'F#', 'Bm', 'C', 'Am', 'D/A']","{'D': 25, 'G': 27, 'Em': 10, 'A': 10, 'F#': 3, 'Bm': 3, 'C': 2, 'Am': 1, 'D/A': 1}",63 
Lover,G,no capo,"['G', 'D/F#', 'C', 'Em', 'D', 'G7/F', 'Em/B', 'Am']","{'G': 28, 'D/F#': 10, 'C': 28, 'Em': 8, 'D': 26, 'G7/F': 3, 'Em/B': 2, 'Am': 3}",68 
Remember,Key Not Find,3rd fret,"['Am', 'G/B', 'C', 'Dm', 'C/E', 'F']","{'Am': 20, 'G/B': 20, 'C': 20, 'Dm': 20, 'C/E': 20, 'F': 20}",124 
Livin On A Prayer,Key Not Find,no capo,"['Em', 'C', 'D', 'Emadd9', 'G', 'Csus2', 'Gm', 'D#', 'F', 'A#']","{'Em': 30, 'C': 28, 'D': 27, 'Emadd9': 4, 'G': 6, 'Csus2': 1, 'Gm': 2, 'D#': 4, 'F': 4, 'A#': 2}",NF
Last Kiss,Key Not Find,no capo,"['G', 'Em', 'C', 'D']","{'G': 30, 'Em': 19, 'C': 19, 'D': 19}",112 
Black,Key Not Find,no capo,"['E', 'Asus2', 'A', 'C', 'Em', 'D']","{'E': 12, 'Asus2': 6, 'A': 3, 'C': 20, 'Em': 18, 'D': 15}",77 
Line Without A Hook,G#,1st fret,"['G', 'Em', 'C', 'D', 'Am', 'Bm']","{'G': 34, 'Em': 28, 'C': 28, 'D': 29, 'Am': 6, 'Bm': 5}",190 
Starting Over,A#,3rd fret,"['G', 'Gadd11', 'Cmaj7', 'C', 'D', 'Dsus2', 'Em', 'D/F#', 'Cadd9', 'Am']","{'G': 38, 'Gadd11': 20, 'Cmaj7': 25, 'C': 23, 'D': 5, 'Dsus2': 4, 'Em': 8, 'D/F#': 15, 'Cadd9': 9, 'Am': 2}",178 
Lavender Haze,D#,1st fret,"['D', 'E', 'Bm']","{'D': 20, 'E': 20, 'Bm': 24}",97 
K,Key Not Find,1st fret,"['A', 'Dsus2', 'G', 'G/F#', 'Em7']","{'A': 20, 'Dsus2': 20, 'G': 20, 'G/F#': 20, 'Em7': 19}",94 
Im In Love With You,Key Not Find,no capo,"['G', 'A', 'D', 'Bm', 'Em', 'F#m']","{'G': 62, 'A': 62, 'D': 4, 'Bm': 53, 'Em': 4, 'F#m': 4}",NF
Eye Of The Tiger,Cm,3rd fret,"['Em7', 'G', 'Am', 'Em', 'F', 'Dm', 'C']","{'Em7': 4, 'G': 41, 'Am': 88, 'Em': 10, 'F': 21, 'Dm': 12, 'C': 6}",NF
Me And BoA#y Mcgee,Key Not Find,no capo,"['G', 'C/G', 'D7', 'G7', 'C', 'A', 'E7', 'A7', 'D']","{'G': 26, 'C/G': 3, 'D7': 20, 'G7': 1, 'C': 8, 'A': 73, 'E7': 68, 'A7': 1, 'D': 8}",93 
Never Gonna Give You Up ,Bm,no capo,"['G', 'A', 'F#m', 'Bm', 'F#']","{'G': 43, 'A': 43, 'F#m': 13, 'Bm': 24, 'F#': 11}",NF
Old Town Road,G#,4th fret,"['E', 'G', 'D', 'A']","{'E': 14, 'G': 14, 'D': 14, 'A': 14}",68 
Pompeii,F#m,2nd fret,"['C', 'G', 'Em', 'D']","{'C': 28, 'G': 28, 'Em': 22, 'D': 28}",127 
Brown Eyed Girl,G,no capo,"['G', 'C', 'D', 'Em', 'D7']","{'G': 42, 'C': 23, 'D': 17, 'Em': 3, 'D7': 11}",151 
Whyd You Only Call Me When Youre High ,Em,no capo,"['Em', 'C', 'Am', 'B', 'B7']","{'Em': 28, 'C': 26, 'Am': 19, 'B': 2, 'B7': 1}",93 
MockinF#ird,Key Not Find,no capo,"['Em', 'C/G', 'D/A', 'Em/B']","{'Em': 44, 'C/G': 44, 'D/A': 44, 'Em/B': 44}",NF
I Know The End,C,1st fret,"['C', 'F', 'Am', 'G', 'Dm', 'Cm', 'G#']","{'C': 33, 'F': 37, 'Am': 8, 'G': 16, 'Dm': 16, 'Cm': 1, 'G#': 1}",112 
Strawberry Fields Forever,A#,1st fret,"['E', 'Emaj7', 'E7', 'D', 'A', 'Em7', 'F#7', 'F#m', 'Dmaj7']","{'E': 17, 'Emaj7': 5, 'E7': 5, 'D': 20, 'A': 26, 'Em7': 9, 'F#7': 9, 'F#m': 9, 'Dmaj7': 6}",NF
River,C,no capo,"['C', 'Am', 'F', 'G', 'Dm', 'Dm7']","{'C': 31, 'Am': 10, 'F': 28, 'G': 15, 'Dm': 3, 'Dm7': 2}",NF
Demons,D#,3rd fret,"['C', 'G', 'Am', 'F']","{'C': 22, 'G': 16, 'Am': 16, 'F': 16}",90 
Oh Darling,A,no capo,"['E7#5', 'A', 'E', 'F#m', 'D', 'Bm7', 'E7', 'A7', 'F7', 'B7', 'A#7']","{'E7#5': 4, 'A': 15, 'E': 6, 'F#m': 5, 'D': 11, 'Bm7': 9, 'E7': 13, 'A7': 4, 'F7': 5, 'B7': 3, 'A#7': 2}",58 
Tiny Dancer,C,no capo,"['C', 'F', 'F/C', 'F/A', 'G/B', 'G', 'Em7', 'Am7', 'D/F#', 'Dm7', 'E7', 'Am', 'G7/B', 'G/D', 'Em', 'Dm', 'Dm7/F', 'G7', 'G#', 'A#', 'Gm', 'Cm', 'C/E', 'G/A']","{'C': 41, 'F': 34, 'F/C': 28, 'F/A': 6, 'G/B': 5, 'G': 5, 'Em7': 3, 'Am7': 3, 'D/F#': 3, 'Dm7': 2, 'E7': 3, 'Am': 3, 'G7/B': 2, 'G/D': 5, 'Em': 3, 'Dm': 21, 'Dm7/F': 1, 'G7': 1, 'G#': 4, 'A#': 4, 'Gm': 2, 'Cm': 2, 'C/E': 28, 'G/A': 10}",NF
Time After Time,F,no capo,"['F', 'G', 'Em', 'Dm/C', 'C', 'Am7', 'Fadd9']","{'F': 20, 'G': 34, 'Em': 14, 'Dm/C': 24, 'C': 34, 'Am7': 9, 'Fadd9': 10}",130 
Night Moves,Key Not Find,1st fret,"['G', 'F', 'C', 'D', 'Em', 'G7', 'Cmaj7', 'Bm', 'Am']","{'G': 32, 'F': 49, 'C': 39, 'D': 14, 'Em': 9, 'G7': 1, 'Cmaj7': 3, 'Bm': 1, 'Am': 1}",119 
Body Paint,A#,no capo,"['A#', 'Gm/A#', 'A7', 'Dm', 'Dm7', 'Gm', 'Em7', 'A', 'F', 'D#', 'D7', 'Gmadd11/C', 'A#M7', 'Dm/A#', 'Dm/A', 'F#/C#', 'G', 'G7/D', 'Dm6', 'Em', 'Em/C', 'C', 'C/E', 'Am', 'GM7', 'G7', 'CM7', 'Am/C', 'D#M7', 'A#/D#', 'D#m7', 'A#6', 'Gm/C', 'D7/C', 'C9', 'D', 'C7sus2', 'Cm9', 'C7']","{'A#': 7, 'Gm/A#': 1, 'A7': 3, 'Dm': 2, 'Dm7': 4, 'Gm': 4, 'Em7': 2, 'A': 1, 'F': 2, 'D#': 7, 'D7': 14, 'Gmadd11/C': 3, 'A#M7': 2, 'Dm/A#': 1, 'Dm/A': 1, 'F#/C#': 1, 'G': 5, 'G7/D': 1, 'Dm6': 1, 'Em': 3, 'Em/C': 1, 'C': 2, 'C/E': 1, 'Am': 3, 'GM7': 2, 'G7': 2, 'CM7': 2, 'Am/C': 1, 'D#M7': 9, 'A#/D#': 1, 'D#m7': 1, 'A#6': 1, 'Gm/C': 5, 'D7/C': 2, 'C9': 1, 'D': 1, 'C7sus2': 4, 'Cm9': 1, 'C7': 1}",NF
Help,A,no capo,"['A6', 'Bm', 'Bm/A', 'G', 'G/F#', 'E', 'A', 'C#m', 'F#m', 'D']","{'A6': 2, 'Bm': 4, 'Bm/A': 4, 'G': 10, 'G/F#': 4, 'E': 4, 'A': 13, 'C#m': 6, 'F#m': 7, 'D': 6}",191 
Johnny B Goode,Key Not Find,1st fret,"['A', 'D', 'E']","{'A': 21, 'D': 6, 'E': 6}",168 
Mamma Mia - Dancing Queen,Key Not Find,no capo,"['A', 'D', 'D/F#', 'A/E', 'E', 'C#7/E#', 'F#m', 'B', 'Bm', 'E/G#']","{'A': 30, 'D': 23, 'D/F#': 4, 'A/E': 4, 'E': 15, 'C#7/E#': 4, 'F#m': 12, 'B': 4, 'Bm': 6, 'E/G#': 2}",NF
I Wanna Be Yours,Key Not Find,3rd fret,"['Am', 'Dm', 'Em', 'G', 'F']","{'Am': 21, 'Dm': 16, 'Em': 16, 'G': 10, 'F': 10}",68 
All Star,F#,no capo,"['G', 'D', 'Am', 'C', 'C#dim', 'F']","{'G': 39, 'D': 20, 'Am': 20, 'C': 52, 'C#dim': 14, 'F': 5}",104 
Annies Song,Key Not Find,no capo,"['D', 'Dsus4', 'G', 'A', 'Bm', 'D/C#', 'F#m', 'Em', 'A7']","{'D': 22, 'Dsus4': 13, 'G': 28, 'A': 16, 'Bm': 16, 'D/C#': 8, 'F#m': 8, 'Em': 8, 'A7': 11}",146 
Your Man,F#,no capo,"['C', 'G', 'D', 'Am', 'Bm']","{'C': 11, 'G': 21, 'D': 12, 'Am': 4, 'Bm': 2}",101 
Girl From The North Country,Key Not Find,no capo,"['G', 'Bm', 'C', 'F', 'Am', 'A#', 'E', 'G#m', 'A']","{'G': 43, 'Bm': 22, 'C': 22, 'F': 1, 'Am': 1, 'A#': 1, 'E': 1, 'G#m': 1, 'A': 1}",NF
Shes Always A Woman,A#,1st fret,"['D', 'Dsus4', 'Dsus2', 'A7', 'D7', 'G', 'F#', 'Bm', 'Em', 'E', 'E7', 'A', 'F#m', 'Dm7', 'G7', 'C', 'Am', 'A#', 'Bm/A', 'D/F#']","{'D': 30, 'Dsus4': 2, 'Dsus2': 1, 'A7': 30, 'D7': 8, 'G': 16, 'F#': 6, 'Bm': 8, 'Em': 8, 'E': 4, 'E7': 4, 'A': 4, 'F#m': 2, 'Dm7': 2, 'G7': 2, 'C': 2, 'Am': 2, 'A#': 2, 'Bm/A': 1, 'D/F#': 1}",176 
The Sound Of Music - Edelweiss,G#,1st fret,"['G', 'D', 'C', 'Em', 'Am7', 'D7', 'A7', 'G/F', 'C/E', 'Cm/D#']","{'G': 11, 'D': 4, 'C': 3, 'Em': 1, 'Am7': 1, 'D7': 5, 'A7': 1, 'G/F': 1, 'C/E': 1, 'Cm/D#': 1}",99 
Ripple,Key Not Find,no capo,"['G', 'C', 'D', 'Am', 'A']","{'G': 32, 'C': 27, 'D': 10, 'Am': 2, 'A': 2}",126 
Stitches,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 
Numb,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'D/F#', 'Bm7', 'B', 'Bsus4']","{'Em': 19, 'C': 21, 'G': 19, 'D': 22, 'D/F#': 1, 'Bm7': 1, 'B': 1, 'Bsus4': 1}",110 
I Dont Want To Miss A Thing,D,no capo,"['D', 'A', 'Bm', 'G', 'Em', 'F#m', 'C', 'A#', 'F', 'Dm']","{'D': 22, 'A': 26, 'Bm': 4, 'G': 16, 'Em': 13, 'F#m': 1, 'C': 2, 'A#': 1, 'F': 1, 'Dm': 1}",60 
Moon River,G,no capo,"['G', 'Em', 'C', 'Am', 'B7', 'G7', 'Cm', 'Em7', 'A7', 'D7']","{'G': 19, 'Em': 9, 'C': 12, 'Am': 7, 'B7': 3, 'G7': 2, 'Cm': 5, 'Em7': 4, 'A7': 2, 'D7': 4}",80 
No Se Va,Key Not Find,no capo,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 19, 'C': 16, 'G': 16}",NF
Complicated,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']","{'Dm': 25, 'A#': 32, 'F': 23, 'C': 25, 'Gm': 4}",78 
Can You Feel The Love Tonight,A#,3rd fret,"['G', 'D/F#', 'C/E', 'G/D', 'C', 'G/B', 'Am7', 'D', 'Em', 'F', 'A/C#', 'Am', 'C/D', 'C/G']","{'G': 20, 'D/F#': 8, 'C/E': 2, 'G/D': 7, 'C': 34, 'G/B': 19, 'Am7': 3, 'D': 10, 'Em': 11, 'F': 2, 'A/C#': 6, 'Am': 6, 'C/D': 3, 'C/G': 3}",62 
Skyfall,Cm,3rd fret,"['Am', 'Am/G', 'F', 'F/E', 'E', 'Esus', 'D', 'D/C', 'Dm', 'Dm7/A', 'Asus2/C', 'Bm7b5', 'Esus/B', 'E/C', 'Asus2']","{'Am': 23, 'Am/G': 9, 'F': 22, 'F/E': 10, 'E': 13, 'Esus': 8, 'D': 23, 'D/C': 8, 'Dm': 13, 'Dm7/A': 2, 'Asus2/C': 6, 'Bm7b5': 9, 'Esus/B': 2, 'E/C': 1, 'Asus2': 1}",75 
Cant Take My Eyes Off You,C#,1st fret,"['C', 'Cmaj7', 'C7', 'F', 'Fm7', 'Dm7', 'G7', 'G', 'Em7', 'Am7', 'A#7', 'A7', 'D', 'Dmaj7', 'D7sus4', 'Gm7', 'F#m7', 'Bm7', 'Em', 'B7']","{'C': 8, 'Cmaj7': 2, 'C7': 3, 'F': 2, 'Fm7': 2, 'Dm7': 6, 'G7': 2, 'G': 4, 'Em7': 6, 'Am7': 2, 'A#7': 1, 'A7': 5, 'D': 5, 'Dmaj7': 1, 'D7sus4': 1, 'Gm7': 1, 'F#m7': 2, 'Bm7': 2, 'Em': 1, 'B7': 1}",88 
Creep,C,no capo,"['C', 'E', 'F', 'Fm']","{'C': 12, 'E': 11, 'F': 11, 'Fm': 11}",92 
Karma,Key Not Find,1st fret,"['D', 'Am7', 'C', 'G', 'Bm', 'F#m', 'A']","{'D': 17, 'Am7': 16, 'C': 17, 'G': 17, 'Bm': 1, 'F#m': 1, 'A': 1}",NF
Stairway To Heaven,Am,no capo,"['Am', 'E+', 'C', 'D', 'F', 'G', 'Em', 'Dsus4', 'Dsus2', 'Cadd9']","{'Am': 51, 'E+': 6, 'C': 37, 'D': 35, 'F': 21, 'G': 48, 'Em': 7, 'Dsus4': 4, 'Dsus2': 2, 'Cadd9': 2}",NF
Summer Of 69,D,no capo,"['D', 'A', 'D', 'A', 'Bm', 'G', 'F', 'A#', 'C', 'A#/D']","{'D': 31, 'A': 30, 'Bm': 9, 'G': 6, 'F': 2, 'A#': 2, 'C': 2, 'A#/D': 1}",138 
Ceilings,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
Run Away To Mars,Key Not Find,2nd fret,"['G', 'D', 'Em7', 'Cadd9', 'Em', 'Am7', 'Dsus4', 'Am']","{'G': 27, 'D': 23, 'Em7': 3, 'Cadd9': 17, 'Em': 15, 'Am7': 6, 'Dsus4': 3, 'Am': 4}",NF
